Length1,Length2,Length3,Height,Width
2.4E+01,2.63E+01,3.12E+01,1.248E+01,4.3056E+00
3.45E+01,3.7E+01,3.94E+01,1.0835E+01,6.2646E+00
1.9E+01,2.07E+01,2.32E+01,8.5376E+00,3.2944E+00
2.41E+01,2.65E+01,2.93E+01,8.1454E+00,4.2485E+00
1.9E+01,2.1E+01,2.25E+01,5.6925E+00,3.555E+00
1.93E+01,2.13E+01,2.28E+01,6.384E+00,3.534E+00
2.11E+01,2.25E+01,2.5E+01,6.4E+00,3.8E+00
1.63E+01,1.77E+01,1.98E+01,7.4052E+00,2.673E+00
1.5E+01,1.62E+01,1.72E+01,4.5924E+00,2.6316E+00
3.7E+01,4E+01,4.25E+01,1.173E+01,7.225E+00
2.2E+01,2.4E+01,2.55E+01,7.293E+00,3.723E+00
2.54E+01,2.75E+01,2.89E+01,7.0516E+00,4.335E+00
2.05E+01,2.25E+01,2.4E+01,6.792E+00,3.624E+00
2.87E+01,3.1E+01,3.62E+01,1.43714E+01,4.8146E+00
1.29E+01,1.41E+01,1.62E+01,4.1472E+00,2.268E+00
3.74E+01,4.1E+01,4.59E+01,1.86354E+01,6.7473E+00
3.48E+01,3.73E+01,3.98E+01,6.2884E+00,4.0198E+00
1.86E+01,2E+01,2.22E+01,6.216E+00,3.5742E+00
1.9E+01,2.1E+01,2.25E+01,5.6925E+00,3.6675E+00
3.46E+01,3.7E+01,3.93E+01,1.05717E+01,6.3666E+00
1.38E+01,1.5E+01,1.62E+01,2.9322E+00,1.8792E+00
3.28E+01,3.6E+01,4.16E+01,1.68896E+01,6.1984E+00
3.19E+01,3.5E+01,4.05E+01,1.62405E+01,5.589E+00
1.98E+01,2.15E+01,2.41E+01,9.7364E+00,3.1571E+00
2.84E+01,3.1E+01,3.62E+01,1.42628E+01,5.1042E+00
1.15E+01,1.22E+01,1.34E+01,2.0904E+00,1.3936E+00
2.5E+01,2.65E+01,2.8E+01,7.168E+00,4.144E+00
3.05E+01,3.28E+01,3.4E+01,1.003E+01,6.018E+00
4.2E+01,4.5E+01,4.8E+01,6.96E+00,4.896E+00
2E+01,2.2E+01,2.35E+01,6.11E+00,3.525E+00
2.3E+01,2.5E+01,2.65E+01,6.4395E+00,3.6835E+00
1.13E+01,1.18E+01,1.31E+01,2.2139E+00,1.1659E+00
3.4E+01,3.6E+01,3.83E+01,1.06091E+01,6.7408E+00
1.84E+01,2E+01,2.24E+01,8.8928E+00,3.2928E+00
3.04E+01,3.3E+01,3.83E+01,1.48604E+01,5.2854E+00
1.9E+01,2.1E+01,2.25E+01,5.9175E+00,3.3075E+00
1.94E+01,2.1E+01,2.37E+01,6.1146E+00,3.2943E+00
1.82E+01,2E+01,2.1E+01,5.082E+00,2.772E+00
2.5E+01,2.7E+01,3.06E+01,8.568E+00,4.7736E+00
3.27E+01,3.6E+01,4.15E+01,1.6517E+01,5.8515E+00
1.62E+01,1.8E+01,1.92E+01,5.2224E+00,3.3216E+00
2.05E+01,2.2E+01,2.43E+01,6.6339E+00,3.5478E+00
3.18E+01,3.5E+01,4.09E+01,1.636E+01,6.0532E+00
5.6E+01,6E+01,6.4E+01,9.6E+00,6.144E+00
3.69E+01,4E+01,4.23E+01,1.19286E+01,7.1064E+00
3.6E+01,3.85E+01,4.1E+01,6.396E+00,3.977E+00
2.21E+01,2.35E+01,2.68E+01,7.3968E+00,4.1272E+00
3.15E+01,3.45E+01,3.97E+01,1.55227E+01,5.2801E+00
2.4E+01,2.6E+01,2.9E+01,1.1368E+01,4.234E+00
2.65E+01,2.9E+01,3.4E+01,1.2444E+01,5.134E+00
1.08E+01,1.13E+01,1.26E+01,1.9782E+00,1.2852E+00
3.5E+01,3.85E+01,4.4E+01,1.8084E+01,6.292E+00
1.21E+01,1.3E+01,1.38E+01,2.277E+00,1.2558E+00
3.71E+01,4E+01,4.25E+01,1.1135E+01,6.63E+00
2.69E+01,2.87E+01,3.01E+01,7.5852E+00,4.6354E+00
2.2E+01,2.4E+01,2.72E+01,7.5344E+00,3.8352E+00
3.65E+01,3.9E+01,4.14E+01,1.11366E+01,7.4934E+00
2.94E+01,3.2E+01,3.72E+01,1.49544E+01,5.1708E+00
2E+01,2.2E+01,2.35E+01,5.875E+00,3.525E+00
2.85E+01,3.07E+01,3.62E+01,1.42266E+01,4.9594E+00
1.35E+01,1.47E+01,1.65E+01,6.8475E+00,2.3265E+00
3.17E+01,3.4E+01,3.78E+01,5.7078E+00,4.158E+00
2.39E+01,2.65E+01,3.11E+01,1.23778E+01,4.6961E+00
2.85E+01,3.1E+01,3.4E+01,1.0744E+01,6.562E+00
3.18E+01,3.5E+01,4.06E+01,1.54686E+01,6.1306E+00
1.43E+01,1.55E+01,1.74E+01,6.5772E+00,2.3142E+00
1.75E+01,1.9E+01,2.13E+01,8.3922E+00,2.9181E+00
2.76E+01,3E+01,3.51E+01,1.40049E+01,4.8438E+00
2E+01,2.2E+01,2.35E+01,5.64E+00,3.525E+00
2.2E+01,2.4E+01,2.55E+01,6.375E+00,3.825E+00
2.12E+01,2.3E+01,2.58E+01,1.03458E+01,3.6636E+00
2.36E+01,2.52E+01,2.79E+01,7.0866E+00,3.906E+00
4.83E+01,5.17E+01,5.51E+01,8.9262E+00,6.1712E+00
2.52E+01,2.73E+01,2.87E+01,8.323E+00,5.1373E+00
3.14E+01,3.4E+01,3.92E+01,1.59936E+01,5.3704E+00
3.2E+01,3.5E+01,4.06E+01,1.63618E+01,6.09E+00
4E+01,4.25E+01,4.55E+01,6.825E+00,4.459E+00
7.5E+00,8.4E+00,8.8E+00,2.112E+00,1.408E+00
3.27E+01,3.5E+01,3.88E+01,5.9364E+00,4.3844E+00
1.04E+01,1.1E+01,1.2E+01,2.196E+00,1.38E+00
1.78E+01,1.96E+01,2.08E+01,5.1376E+00,3.0368E+00
4E+01,4.25E+01,4.55E+01,7.28E+00,4.3225E+00
4.32E+01,4.6E+01,4.87E+01,7.792E+00,4.87E+00
1.25E+01,1.37E+01,1.47E+01,3.528E+00,1.9992E+00
5.2E+01,5.6E+01,5.97E+01,1.06863E+01,6.9849E+00
1.82E+01,1.98E+01,2.22E+01,5.6166E+00,3.1746E+00
